#run-time information,,,,,,,,,,,,,,,,
"#	date run: 	Mon Mar 25 15:22:00 CDT 2024",,,,,,,,,,,,,,,,
"#	sct directory: 	/usr/local/slingshot_tools_26Jul2022_rev2/sct",,,,,,,,,,,,,,,,
"#	sct timestamp: 	2023-10-26 14:35:02",,,,,,,,,,,,,,,,
"#	'non-standard' SCT args: ",,,,,,,,,,,,,,,,
"#	ls config file:	-rwxr-xr-x 1 tuminell employee 17862 Mar 25 15:21 /var/users/systems/eni_revc/eni_revc.yaml",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
cable_id,src_conn_a,src_conn_b,dst_conn_a,dst_conn_b,stage,src_egress_a,src_egress_b,dst_egress_a,dst_egress_b,link_type,src_group,dst_group,part_number,part_length,calculated_distance,route
3207.3104.00.0000,x3207.c0.r42.j26,none,x3104.c0.r42.j6,none,1,x3207-RIGHT,none,x3104-LEFT,none,local,1,1,R4K83A,25,20.8250115,"['x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT']"
3208.3104.00.0000,x3208.c0.r42.j26,none,x3104.c0.r42.j8,none,1,x3208-RIGHT,none,x3104-LEFT,none,local,1,1,R4K83A,25,19.9801568,"['x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT']"
3208.3103.00.0000,x3208.c0.r42.j25,none,x3103.c0.r42.j8,none,1,x3208-RIGHT,none,x3103-LEFT,none,local,1,1,R4K83A,25,20.8010642,"['x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT']"
3208.3102.00.0000,x3208.c0.r42.j28,none,x3102.c0.r42.j8,none,1,x3208-RIGHT,none,x3102-LEFT,none,local,1,1,R4K83A,25,21.6468265,"['x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT']"
3208.3101.00.0000,x3208.c0.r42.j27,none,x3101.c0.r42.j8,none,1,x3208-RIGHT,none,x3101-LEFT,none,local,1,1,R4K83A,25,22.4677891,"['x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT', 'x3102_RIGHT-x3101_LEFT']"
3207.3103.00.0000,x3207.c0.r42.j25,none,x3103.c0.r42.j6,none,1,x3207-RIGHT,none,x3103-LEFT,none,local,1,1,R4K83A,25,21.645919,"['x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT']"
3207.3102.00.0000,x3207.c0.r42.j28,none,x3102.c0.r42.j6,none,1,x3207-RIGHT,none,x3102-LEFT,none,local,1,1,R4K83A,25,22.4916813,"['x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT']"
3207.3101.00.0000,x3207.c0.r42.j27,none,x3101.c0.r42.j6,none,1,x3207-RIGHT,none,x3101-LEFT,none,local,1,1,R4K83A,25,23.3126438,"['x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT', 'x3102_RIGHT-x3101_LEFT']"
3206.3104.00.0000,x3206.c0.r42.j26,none,x3104.c0.r42.j5,none,1,x3206-RIGHT,none,x3104-LEFT,none,local,1,1,R4K83A,25,21.6458884,"['x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT']"
3206.3103.00.0000,x3206.c0.r42.j25,none,x3103.c0.r42.j5,none,1,x3206-RIGHT,none,x3103-LEFT,none,local,1,1,R4K83A,25,22.4667958,"['x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT']"
3206.3102.00.0000,x3206.c0.r42.j28,none,x3102.c0.r42.j5,none,1,x3206-RIGHT,none,x3102-LEFT,none,local,1,1,R4K83A,25,23.3125582,"['x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT']"
3206.3101.00.0000,x3206.c0.r42.j27,none,x3101.c0.r42.j5,none,1,x3206-RIGHT,none,x3101-LEFT,none,local,1,1,R4K83A,25,24.1335207,"['x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT', 'x3102_RIGHT-x3101_LEFT']"
3205.3104.00.0000,x3205.c0.r42.j26,none,x3104.c0.r42.j4,none,1,x3205-RIGHT,none,x3104-LEFT,none,local,1,1,R4K84A,35,29.1913408,"['x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT']"
3205.3103.00.0000,x3205.c0.r42.j25,none,x3103.c0.r42.j4,none,1,x3205-RIGHT,none,x3103-LEFT,none,local,1,1,R4K84A,35,30.0122482,"['x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT']"
3205.3102.00.0000,x3205.c0.r42.j28,none,x3102.c0.r42.j4,none,1,x3205-RIGHT,none,x3102-LEFT,none,local,1,1,R4K84A,35,30.8580106,"['x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT']"
3205.3101.00.0000,x3205.c0.r42.j27,none,x3101.c0.r42.j4,none,1,x3205-RIGHT,none,x3101-LEFT,none,local,1,1,R4K84A,35,31.6789731,"['x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT', 'x3102_RIGHT-x3101_LEFT']"
3208.3108.00.0000,x3208.c0.r42.j30,none,x3108.c0.r42.j8,none,1,x3208-RIGHT,none,x3108-LEFT,none,local,1,1,R4K82A,19,16.7421733,"['x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT']"
3208.3107.00.0000,x3208.c0.r42.j29,none,x3107.c0.r42.j8,none,1,x3208-RIGHT,none,x3107-LEFT,none,local,1,1,R4K82A,19,17.5631906,"['x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT']"
3208.3106.00.0000,x3208.c0.r42.j32,none,x3106.c0.r42.j8,none,1,x3208-RIGHT,none,x3106-LEFT,none,local,1,1,R4K82A,19,18.4088586,"['x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT']"
3208.3105.00.0000,x3208.c0.r42.j31,none,x3105.c0.r42.j8,none,1,x3208-RIGHT,none,x3105-LEFT,none,local,1,1,R4K83A,25,19.2299186,"['x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT']"
3207.3108.00.0000,x3207.c0.r42.j30,none,x3108.c0.r42.j6,none,1,x3207-RIGHT,none,x3108-LEFT,none,local,1,1,R4K82A,19,17.5870281,"['x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT']"
3207.3107.00.0000,x3207.c0.r42.j29,none,x3107.c0.r42.j6,none,1,x3207-RIGHT,none,x3107-LEFT,none,local,1,1,R4K82A,19,18.4080454,"['x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT']"
3207.3106.00.0000,x3207.c0.r42.j32,none,x3106.c0.r42.j6,none,1,x3207-RIGHT,none,x3106-LEFT,none,local,1,1,R4K83A,25,19.2537134,"['x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT']"
3207.3105.00.0000,x3207.c0.r42.j31,none,x3105.c0.r42.j6,none,1,x3207-RIGHT,none,x3105-LEFT,none,local,1,1,R4K83A,25,20.0747734,"['x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT']"
3206.3108.00.0000,x3206.c0.r42.j30,none,x3108.c0.r42.j5,none,1,x3206-RIGHT,none,x3108-LEFT,none,local,1,1,R4K82A,19,18.407905,"['x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT']"
3206.3107.00.0000,x3206.c0.r42.j29,none,x3107.c0.r42.j5,none,1,x3206-RIGHT,none,x3107-LEFT,none,local,1,1,R4K83A,25,19.2289223,"['x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT']"
3206.3106.00.0000,x3206.c0.r42.j32,none,x3106.c0.r42.j5,none,1,x3206-RIGHT,none,x3106-LEFT,none,local,1,1,R4K83A,25,20.0745902,"['x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT']"
3206.3105.00.0000,x3206.c0.r42.j31,none,x3105.c0.r42.j5,none,1,x3206-RIGHT,none,x3105-LEFT,none,local,1,1,R4K83A,25,20.8956503,"['x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT']"
3205.3108.00.0000,x3205.c0.r42.j30,none,x3108.c0.r42.j4,none,1,x3205-RIGHT,none,x3108-LEFT,none,local,1,1,R4K84A,35,25.9533574,"['x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT']"
3205.3107.00.0000,x3205.c0.r42.j29,none,x3107.c0.r42.j4,none,1,x3205-RIGHT,none,x3107-LEFT,none,local,1,1,R4K84A,35,26.7743747,"['x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT']"
3205.3106.00.0000,x3205.c0.r42.j32,none,x3106.c0.r42.j4,none,1,x3205-RIGHT,none,x3106-LEFT,none,local,1,1,R4K84A,35,27.6200426,"['x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT']"
3205.3105.00.0000,x3205.c0.r42.j31,none,x3105.c0.r42.j4,none,1,x3205-RIGHT,none,x3105-LEFT,none,local,1,1,R4K84A,35,28.4411027,"['x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT']"
3204.3104.00.0000,x3204.c0.r42.j26,none,x3104.c0.r42.j3,none,1,x3204-RIGHT,none,x3104-LEFT,none,local,1,1,R4K84A,35,30.0122838,"['x3204_RIGHT-x3205_LEFT', 'x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT']"
3204.3103.00.0000,x3204.c0.r42.j25,none,x3103.c0.r42.j3,none,1,x3204-RIGHT,none,x3103-LEFT,none,local,1,1,R4K84A,35,30.8331912,"['x3204_RIGHT-x3205_LEFT', 'x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT']"
3204.3102.00.0000,x3204.c0.r42.j28,none,x3102.c0.r42.j3,none,1,x3204-RIGHT,none,x3102-LEFT,none,local,1,1,R4K84A,35,31.6789535,"['x3204_RIGHT-x3205_LEFT', 'x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT']"
3204.3101.00.0000,x3204.c0.r42.j27,none,x3101.c0.r42.j3,none,1,x3204-RIGHT,none,x3101-LEFT,none,local,1,1,R4K84A,35,32.4999161,"['x3204_RIGHT-x3205_LEFT', 'x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT', 'x3102_RIGHT-x3101_LEFT']"
3203.3104.00.0000,x3203.c0.r42.j26,none,x3104.c0.r42.j2,none,1,x3203-RIGHT,none,x3104-LEFT,none,local,1,1,R4K84A,35,30.8580158,"['x3203_RIGHT-x3204_LEFT', 'x3204_RIGHT-x3205_LEFT', 'x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT']"
3203.3103.00.0000,x3203.c0.r42.j25,none,x3103.c0.r42.j2,none,1,x3203-RIGHT,none,x3103-LEFT,none,local,1,1,R4K84A,35,31.6789232,"['x3203_RIGHT-x3204_LEFT', 'x3204_RIGHT-x3205_LEFT', 'x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT']"
3203.3102.00.0000,x3203.c0.r42.j28,none,x3102.c0.r42.j2,none,1,x3203-RIGHT,none,x3102-LEFT,none,local,1,1,R4K84A,35,32.5246855,"['x3203_RIGHT-x3204_LEFT', 'x3204_RIGHT-x3205_LEFT', 'x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT']"
3203.3101.00.0000,x3203.c0.r42.j27,none,x3101.c0.r42.j2,none,1,x3203-RIGHT,none,x3101-LEFT,none,local,1,1,R4K84A,35,33.3456481,"['x3203_RIGHT-x3204_LEFT', 'x3204_RIGHT-x3205_LEFT', 'x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT', 'x3102_RIGHT-x3101_LEFT']"
3202.3104.00.0000,x3202.c0.r42.j26,none,x3104.c0.r42.j1,none,1,x3202-RIGHT,none,x3104-LEFT,none,local,1,1,R4K84A,35,31.6790097,"['x3202_RIGHT-x3203_LEFT', 'x3203_RIGHT-x3204_LEFT', 'x3204_RIGHT-x3205_LEFT', 'x3205_RIGHT-x3206_LEFT', 'x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT']"
